shopping_id,cnpj,loja_nome,segmento,cupons,clientes,valor_total,shopping_sigla,participou
2,16831908000187,Crocs,Calçados,0,0,0.0,BS,False
2,61682759000277,Dengo,Beleza e Bem-estar,0,0,0.0,BS,False
2,30116147000102,Detoni Beauty,Beleza e Bem-estar,0,0,0.0,BS,False
2,28281777000271,Dvie Joalheria,Joalheria,0,0,0.0,BS,False
2,39403434000178,FORUM,Moda,0,0,0.0,BS,False
2,04852969000141,FREDDO,Gastronomia,0,0,0.0,BS,False
2,12015273000199,Game Mania,Eletrônicos,0,0,0.0,BS,False
2,51321247000574,Kings Sneakers,Calçados,0,0,0.0,BS,False
2,28111855000109,L'Oréal Kerastase,Beleza e Bem-estar,0,0,0.0,BS,False
2,25291503000194,Las Leñas,Gastronomia,0,0,0.0,BS,False
2,45021942000194,Lavi Sunglasses,Ótica,0,0,0.0,BS,False
2,02455036009303,Motorola,Telefonia,0,0,0.0,BS,False
2,05337063000151,New Era,Moda,0,0,0.0,BS,False
2,61793720000146,Oculum,Calçados,0,0,0.0,BS,False
2,46424765000150,Ojo by mr.ray,Ótica,0,0,0.0,BS,False
2,92665611000177,PANVEL,Farmácias,0,0,0.0,BS,False
2,07082391000694,PRATA FINA,Joalheria,0,0,0.0,BS,False
2,33962799000156,Padrão,Calçados,0,0,0.0,BS,False
2,45687735000173,Reserva,Moda,0,0,0.0,BS,False
2,55648279000106,Simmons,Casa e Decoração,0,0,0.0,BS,False
2,51149681000195,Smart Case,Eletrônicos,0,0,0.0,BS,False
2,08613254000944,Tania Bulhões,Presentes e Acessórios,0,0,0.0,BS,False
2,27883976000106,Tommy Hilfiger,Moda,0,0,0.0,BS,False
2,74465853000135,Unique,Beleza e Bem-estar,0,0,0.0,BS,False
2,48946499000150,Wow Park,Lazer,0,0,0.0,BS,False
3,92754738003420,Renner,Moda,435,313,116534.4,NK,True
3,06347409008905,Centauro,Esportes,190,155,71705.76,NK,True
3,43470566006554,Shoulder,Moda Feminina,64,53,66924.55,NK,True
3,79379491001155,Havan,Casa e Decoração,267,213,65560.05,NK,True
3,33200056008123,Riachuelo,Moda,235,194,59298.52,NK,True
3,06062545000109,Joalheria Baier,Joalheria,5,5,55742.2,NK,True
3,84453844011384,Vivara,Joalheria,28,27,44463.37,NK,True
3,20702154007811,Lindt,Gastronomia,206,163,42800.2,NK,True
3,37749600000167,Óticas Carol,Ótica,22,21,42360.69,NK,True
3,47100110025698,Brooksfield,Moda,29,25,41356.42,NK,True
3,11278233000177,Cacau Show,Gastronomia,260,203,39099.61,NK,True
3,00776574158612,LOJAS AMERICANAS,Eletrodomésticos,482,300,32283.97,NK,True
3,49669856005374,Le Lis,Moda,22,18,28659.41,NK,True
3,05570154001457,Adidas,Esportes,46,41,28586.14,NK,True
3,58731662011407,Ri Happy,Infantil,136,112,28140.77,NK,True
3,79065181002642,Livrarias Catarinense,Livrarias,266,204,26420.15,NK,True
3,43283811014100,Kalunga,Papelaria,263,207,26062.94,NK,True
3,11170508000154,Cia do Homem,Moda,39,34,25816.2,NK,True
3,13393158003802,Me.Linda,Beleza e Bem-estar,187,158,25630.96,NK,True
3,58480703000144,Arezzo,Calçados,51,43,25483.37,NK,True
3,43451685000103,Idéli.Oui,Beleza e Bem-estar,56,49,25206.79,NK,True
3,50748085000169,Swarovski,Joalheria,13,13,25091.0,NK,True
3,13783221018768,Madero,Gastronomia,139,105,24848.7,NK,True
3,58393035000118,Luz da Lua,Calçados,31,27,24829.16,NK,True
3,45459036000176,Avatim,Beleza e Bem-estar,128,118,21186.5,NK,True
3,02455036003887,Samsung,Eletrônicos,4,3,21091.0,NK,True
3,21660656000372,Kopenhagen,Gastronomia,210,140,20769.87,NK,True
3,83729004016560,Damyller,Moda,28,25,20549.3,NK,True
3,92665611024351,Panvel Farmácias,Farmácias,184,140,19008.69,NK,True
3,55221606000149,Hope,Moda,47,39,18339.56,NK,True
3,03002339004021,Camicado,Casa e Decoração,74,60,17788.85,NK,True
3,33200056060982,Carter's,Infantil,64,58,17445.89,NK,True
3,02558157043643,Vivo,Telefonia,3,2,17308.6,NK,True
3,21366750000151,Track & Field,Moda,42,34,17141.8,NK,True
3,15048754007363,Studio Z,Calçados,90,83,16682.45,NK,True
3,53966834001607,TNG,Moda,31,27,16005.38,NK,True
3,53994421000141,Bagaggio,Presentes e Acessórios,19,16,15962.58,NK,True
3,17574231010417,Youcom,Moda,52,43,15753.33,NK,True
3,78876950000848,Hering Store,Moda,53,49,15464.81,NK,True
3,04657129000802,JCanedo,Moda,20,18,15455.13,NK,True
3,17261661017572,Outback Steakhouse,Gastronomia,61,52,15143.36,NK,True
3,55582739000140,Sinhá Benta Gourmet,Gastronomia,181,107,14801.6,NK,True
3,53153938014400,Cobasi,Pets,91,73,13911.43,NK,True
3,31729984000170,Tommy Hilfiger,Moda,20,19,12808.05,NK,True
3,25332645000152,Aramis,Moda,13,11,12718.11,NK,True
3,48845348000106,Game Mania,Eletrônicos,5,5,11939.8,NK,True
3,47883510000118,Bottero,Calçados,16,16,10841.13,NK,True
3,05569332000105,Sandra Duwe,Joalheria,4,4,9645.0,NK,True
3,07863967000146,Pratafina,Presentes e Acessórios,55,51,9569.0,NK,True
3,56951555000173,Gondolier,Gastronomia,123,98,9189.54,NK,True
3,65560847000176,OJO,Ótica,6,6,9160.0,NK,True
3,09611669031235,Farm,Moda Feminina,23,20,9119.91,NK,True
3,84453844045793,Life by Vivara,Joalheria,16,15,9078.0,NK,True
3,42591651138099,McDonald's,Gastronomia,185,115,9068.81,NK,True
3,39761471000158,Clube Melissa,Calçados,23,19,8420.13,NK,True
3,13566271007910,Intimissimi,Moda Feminina,13,12,8101.06,NK,True
